Speech_Binary,Pos_gaze,Neg_gaze,Pos_control,Neg_control,Pos_object,Neg_object
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
1,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,0,1,1,0,0,0
0,1,0,1,0,0,0
0,0,1,1,0,0,0
1,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
1,0,1,1,0,1,0
0,1,0,1,0,1,0
0,1,0,1,0,1,0
0,1,0,1,0,1,0
0,1,0,1,0,1,0
0,1,0,1,0,1,0
0,1,0,1,0,1,0
1,1,0,1,0,1,0
0,1,0,1,0,1,0
0,1,0,1,0,1,0
0,0,1,1,0,1,0
1,0,1,1,0,1,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,1,0,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
1,0,1,1,0,0,0
0,0,1,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,1
1,1,0,1,0,0,1
0,1,0,1,0,0,1
